X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,Y,group_type,cost
47,126,870.0,1.0,102006.0,65.0,0.0,1.0,42.0,0.0,1.0,62.0,0.0,2.0,0.0,9.0,0.0,13.0,0.0,14.0,0.0,10.0,0.0,7.0,46.0,25.0,46.0,78.0,0.0,2.0,9.0,13.0,14.0,11.0,7.0,72.0,126.0,10.0,5.0,5.0,82.0,0.0,47.0,-99999.0,-1.0,80.0,80.0,-1.0,-1,-1.0,0.0,0.0,0.0,9.0,2.0,0.0,-1.0,154.0,0.0,46.0,狮子座,羊,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,3.0,0.0,116.56,116.56,2.0,0.0,0.0,0.0,未知,-9999.0,0.0,4.0,43.533333,昭通市,0.0,1.0,3.0,0.0,-9999.0,1.0,0.0,1.0,0.2140270003292723,treatment4,0
1,1,593.0,1.0,102005.0,65.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,-99999.0,3.0,1.0,1.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,双鱼座,蛇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.48,2.48,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,7.0,0.333333,宁德市,0.0,1.0,2.0,0.0,-9999.0,9.0,-9999.0,-9999.0,0.03292723081988805,control,0
21,47,871.0,1.0,102005.0,65.0,0.0,1.0,39.0,1.0,13.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,13.0,0.0,21.0,0.0,47.0,15.0,0.0,0.0,0.0,3.0,10.0,13.0,21.0,47.0,4.0,0.0,7.0,27.0,29.0,21.0,-18.0,3.0,32.0,40.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,20.3,0.0,21.0,天秤座,狗,6.0,8.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,107.88,107.88,2.0,0.0,0.0,0.0,未知,-9999.0,0.0,4.0,8.895,昆明市,0.0,1.0,1.0,0.0,1.0,4.0,-9999.0,-9999.0,0.017122160026341784,control,0
5,57,555.0,1.0,102005.0,65.0,0.0,0.0,40.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,57.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,52.0,57.0,10.0,0.0,6.0,34.0,0.0,5.0,-99999.0,3.0,5.0,5.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,8.7,0.0,5.0,天蝎座,鸡,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.5,0.0,25.54,25.54,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,6.0,1.45,马鞍山市,0.0,1.0,1.0,0.0,-9999.0,4.0,-9999.0,-9999.0,0.03292723081988805,control,0
2,19,874.0,1.0,102006.0,65.0,0.0,0.0,17.0,2.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,19.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,19.0,0.0,0.0,7.0,13.0,0.0,2.0,-99999.0,3.0,4.0,4.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.9,0.0,2.0,白羊座,猴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.96,4.96,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,7.0,4.183333,曲靖市,0.0,1.0,1.0,0.0,-9999.0,5.0,0.0,0.0,0.047744484688837664,treatment3,0
9,348,472.0,1.0,102005.0,65.0,0.0,1.0,31.0,0.0,6.0,86.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,338.0,1.0,347.0,5.0,0.0,1.0,5.0,2.0,1.0,0.0,339.0,348.0,6.0,1.0,3.0,256.0,1.0,9.0,-342.0,-1.0,18.0,24.0,-1.0,-1,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,-1.0,20.0,0.0,9.0,天蝎座,马,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,22.32,22.32,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,43.841666,包头市,0.0,1.0,1.0,0.0,7.0,1.0,-9999.0,-9999.0,0.0658544616397761,control,0
9,15,662.0,1.0,102006.0,65.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,15.0,10.0,0.0,0.0,7.0,0.0,2.0,0.0,6.0,15.0,0.0,0.0,6.0,8.0,0.0,9.0,-99999.0,3.0,9.0,12.0,-1.0,-1,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,20.0,0.0,9.0,双鱼座,鸡,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,22.32,22.32,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,6.0,6.0,阳春市,0.0,1.0,1.0,0.0,-9999.0,4.0,-9999.0,-9999.0,0.1481725386894962,treatment1,0
16,60,24.0,1.0,102006.0,65.0,0.0,1.0,28.0,0.0,6.0,44.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,60.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,44.0,60.0,10.0,6.0,5.0,41.0,0.0,16.0,-99999.0,3.0,19.0,31.0,-1.0,-1,-1.0,0.0,0.0,0.0,7.0,4.0,0.0,-1.0,39.6,0.0,16.0,白羊座,鸡,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,39.68,39.68,4.0,0.0,1.0,0.0,未知,-9999.0,100.0,4.0,23.6,苏家屯区,0.0,1.0,1.0,0.0,-9999.0,1.0,-9999.0,-9999.0,0.2581494896279223,treatment3,0
0,0,454.0,0.0,102005.0,62.0,0.0,1.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,30.0,0.0,-99999.0,-1.0,0.0,0.0,1.0,2019-09-30,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,白羊座,蛇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,长春市,0.6345,0.0,6.0,0.0,长春市,0.0,1.0,1.0,0.0,6.0,-9999.0,-9999.0,-9999.0,0.04115903852486006,treatment2,0
3,169,551.0,1.0,102006.0,65.0,0.0,1.0,22.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,58.0,108.0,58.0,111.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,166.0,169.0,8.0,0.0,7.0,125.0,0.0,3.0,-675.0,-1.0,9.0,12.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.87,0.0,3.0,水瓶座,兔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-13.92,-11.76,31.24,19.48,4.0,0.0,0.0,0.0,未知,-9999.0,1.0,7.0,6.978333,合肥市,0.0,1.0,2.0,0.0,-9999.0,7.0,-9999.0,-9999.0,0.0,treatment3,0
0,0,373.0,1.0,102006.0,65.0,0.0,1.0,33.0,0.0,0.0,77.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,-99999.0,3.0,1.0,1.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,天秤座,龙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.48,2.48,4.0,0.0,2.0,0.0,新乡市,0.0437,0.0,3.0,0.5,新乡市,0.0,1.0,1.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,treatment3,0
0,44,376.0,1.0,102006.0,65.0,0.0,1.0,29.0,1.0,9.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,42.0,45.0,10.0,1.0,3.0,24.0,0.0,1.0,-99999.0,3.0,3.0,5.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,0.0,1.0,双鱼座,猴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,0.0,2.48,2.48,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,5.0,潢川县,0.0,1.0,1.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.04115903852486006,treatment2,0
1,33,591.0,1.0,102006.0,65.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,33.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,33.0,10.0,1.0,3.0,20.0,0.0,1.0,-99999.0,3.0,1.0,1.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,水瓶座,兔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,0.0,2.48,2.48,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,0.333333,福州市,0.0,1.0,3.0,0.0,-9999.0,8.0,-9999.0,-9999.0,0.0658544616397761,treatment2,0
4,7,871.0,10.0,102006.0,61.0,0.0,1.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,14.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,7.0,7.0,0.0,7.0,4.0,4.0,4.0,-99999.0,3.0,7.0,7.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.74,1.0,3.0,金牛座,马,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.92,9.92,4.0,0.0,0.0,0.0,郑州市,0.8731,0.0,7.0,3.955,昆明市,0.0,1.0,1.0,0.0,7.0,7.0,-9999.0,-9999.0,0.04840302930523543,treatment2,0
3,3,1774.0,1.0,102005.0,65.0,0.0,1.0,31.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,1.0,3.0,3.0,0.0,3.0,-99999.0,3.0,3.0,3.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,3.0,白羊座,马,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,20.58,20.58,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,0.833333,贺州市,0.0,1.0,2.0,0.0,-9999.0,7.0,-9999.0,-9999.0,0.04115903852486006,treatment1,0
0,7,535.0,1.0,102005.0,65.0,0.0,1.0,36.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,0.0,8.0,7.0,0.0,0.0,-99999.0,3.0,1.0,3.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,狮子座,牛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,-9999.0,1.0,8.0,2.0,烟台市,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0658544616397761,treatment1,0
0,2,22.0,1.0,102005.0,65.0,0.0,0.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,-99999.0,3.0,0.0,0.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,巨蟹座,猪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,-9999.0,0.0,10.0,0.0,滨海新区,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0658544616397761,treatment1,0
17,68,931.0,1.0,102005.0,65.0,0.0,0.0,18.0,1.0,3.0,52.0,0.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,48.0,0.0,68.0,0.0,1.0,8.0,6.0,0.0,3.0,3.0,48.0,68.0,0.0,7.0,5.0,28.0,0.0,17.0,-99999.0,3.0,24.0,26.0,-1.0,-1,-1.0,0.0,0.0,0.0,4.0,3.0,0.0,-1.0,31.12,0.0,17.0,双鱼座,羊,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,42.16,42.16,4.0,0.0,0.0,0.0,未知,-9999.0,1.0,4.0,13.756667000000002,兰州市,0.0,1.0,2.0,0.0,-9999.0,1.0,-9999.0,-9999.0,0.015146526177148501,treatment1,0
9,17,376.0,10.0,102006.0,61.0,0.0,0.0,32.0,0.0,1.0,36.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,17.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,6.0,17.0,0.0,2.0,4.0,13.0,0.0,9.0,-99999.0,3.0,15.0,15.0,-1.0,-1,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,23.0,9.0,0.0,水瓶座,蛇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,22.32,22.32,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,5.5,潢川县,0.0,1.0,1.0,0.0,-9999.0,2.0,-9999.0,-9999.0,0.08231807704972012,treatment2,0
11,194,566.0,1.0,102006.0,65.0,0.0,0.0,25.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,3.0,22.0,158.0,22.0,172.0,2.0,0.0,2.0,6.0,1.0,2.0,3.0,180.0,194.0,6.0,2.0,4.0,140.0,1.0,11.0,-99999.0,-1.0,31.0,50.0,-1.0,-1,-1.0,0.0,0.0,0.0,6.0,0.0,0.0,-1.0,48.0,0.0,11.0,天蝎座,鼠,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,40.42,40.42,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,38.0,池州市,0.0,1.0,1.0,0.0,6.0,1.0,-9999.0,-9999.0,0.04939084622983207,treatment1,0
59,73,932.0,0.0,102006.0,62.0,0.0,0.0,18.0,0.0,1.0,47.0,3.0,0.0,17.0,0.0,12.0,2.0,18.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,71.0,2.0,0.0,3.0,17.0,14.0,18.0,10.0,0.0,14.0,73.0,0.0,7.0,5.0,53.0,0.0,59.0,-99999.0,3.0,59.0,59.0,-1.0,-1,-1.0,0.0,0.0,0.0,9.0,5.0,0.0,-1.0,133.0,57.0,2.0,巨蟹座,羊,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,146.32,146.32,2.0,0.0,0.0,0.0,未知,-9999.0,4.0,5.0,28.25,陇西县,0.0,1.0,1.0,0.0,-9999.0,1.0,0.0,0.0,0.1317089232795522,treatment4,0
0,0,566.0,1.0,102005.0,65.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,-99999.0,-1.0,0.0,0.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,双鱼座,龙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,-9999.0,0.0,9.0,0.0,杭州市,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.08231807704972012,control,0
37,551,731.0,0.0,102005.0,62.0,0.0,1.0,26.0,0.0,77.0,123.0,2.0,0.0,13.0,0.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,512.0,19.0,532.0,0.0,2.0,13.0,12.0,11.0,0.0,3.0,512.0,551.0,0.0,7.0,5.0,395.0,0.0,37.0,-242.0,-1.0,44.0,47.0,-1.0,-1,-1.0,0.0,0.0,0.0,9.0,3.0,0.0,271.0,8.01,19.0,18.0,金牛座,猪,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,189.41,189.41,2.0,1.0,0.0,0.0,未知,-9999.0,7.0,5.0,10.106667,长沙市,0.0,1.0,1.0,1.0,-9999.0,1.0,-9999.0,-9999.0,0.9157062891010865,treatment3,0
